playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2504211","null","Tom Brady","QB","NE","QB","NE","null","12.84","null","null","null","17","null","null","0.09","null","null","null","12.84","12.84","0.6467","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","12.3","null","null","null","8","null","null","0.1","null","null","null","12.3","12.3","5.2515","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","15.48","null","null","null","8","null","null","1.03","null","null","null","15.48","15.48","5.4527","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"2505076","null","Josh McCown","QB","CLE","QB","CLE","null","0.2","null","null","null","52","null","null","0","null","null","null","0.2","0.2","null","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","13.76","null","null","null","14","null","null","0.08","null","null","null","13.76","13.76","null","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","10.5","null","null","null","6","null","null","0.8","null","null","null","10.5","10.5","4.0539","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"2505551","null","Andre Johnson","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","null","4.6","null","null","null","17","null","null","0.1","null","null","null","4.6","4.6","4.3384","null",
"2505936","null","Steven Jackson","RB","NE","RB","NE","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2505982","null","Matt Schaub","QB","ATL","QB","ATL","null","0.2","null","null","null","52","null","null","0","null","null","null","0.2","0.2","null","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","11.24","null","null","null","25","null","null","0.82","null","null","null","11.24","11.24","8.6568","null",
"2506004","null","Jerricho Cotchery","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2506053","null","Luke McCown","QB","NO","QB","NO","null","0.32","null","null","null","39","null","null","0","null","null","null","0.32","0.32","null","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","6.7","null","null","null","43","null","null","0.2","null","null","null","6.7","6.7","2.6757","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","13.66","null","null","null","16","null","null","0.82","null","null","null","13.66","13.66","null","null",
