playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2533353","null","Cory Harkey","TE","LA","TE","LA","null","0.21","null","null","null","86","null","null","0.015","null","null","null","0.21","0.21","null","null",
"2533436","null","Brock Osweiler","QB","HOU","QB","HOU","null","14.978","null","null","null","24","null","null","0.467","null","null","null","14.978","14.978","4.8499","null",
"2533437","null","Ronnie Hillman","RB","SD","RB","SD","null","0","null","null","null","119","null","null","0","null","null","null","0","0","null","null",
"2533457","null","Alfred Morris","RB","DAL","RB","DAL","null","2.88","null","null","null","64","null","null","0.1","null","null","null","2.88","2.88","6.0547","null",
"2533460","null","Robert Turbin","RB","IND","RB","IND","null","4.27","null","null","null","52","null","null","0.215","null","null","null","4.27","4.27","6.1327","null",
"2534241","null","Derek Carrier","TE","WAS","TE","WAS","null","0.23","null","null","null","85","null","null","0.025","null","null","null","0.23","0.23","null","null",
"2534436","null","Deonte Thompson","WR","CHI","WR","CHI","null","3.48","null","null","null","106","null","null","0.105","null","null","null","3.48","3.48","7.8751","null",
"2534571","null","Bobby Rainey","RB","NYG","RB","NYG","null","0.48","null","null","null","96","null","null","0.04","null","null","null","0.48","0.48","2.5444","null",
"2534770","null","Jonathan Grimes","RB","HOU","RB","HOU","null","2.39","null","null","null","68","null","null","0.18","null","null","null","2.39","2.39","7.3029","null",
"2534820","null","Garrett Celek","TE","SF","TE","SF","null","3.14","null","null","null","38","null","null","0.24","null","null","null","3.14","3.14","4.3259","null",
"2535535","null","Phillip Supernaw","TE","TEN","TE","TEN","null","0.3","null","null","null","82","null","null","0.025","null","null","null","0.3","0.3","null","null",
"2535698","null","Cole Beasley","WR","DAL","WR","DAL","null","9.04","null","null","null","41","null","null","0.015","null","null","null","9.04","9.04","4.2006","null",
"2535708","null","Lance Dunbar","RB","DAL","RB","DAL","null","1.61","null","null","null","74","null","null","0.1","null","null","null","1.61","1.61","7.8489","null",
"2535724","null","Dominique Jones","TE","MIA","TE","MIA","null","2.1","null","null","null","50","null","null","0.075","null","null","null","2.1","2.1","null","null",
"2535869","null","Rod Streater","WR","SF","WR","SF","null","1.85","null","null","null","134","null","null","0.13","null","null","null","1.85","1.85","2.92","null",
"2535890","null","Travaris Cadet","RB","NO","RB","NO","null","1.5","null","null","null","76","null","null","0.02","null","null","null","1.5","1.5","6.9908","null",
"2535943","null","Sean McGrath","TE","SD","TE","SD","null","0.31","null","null","null","79","null","null","0","null","null","null","0.31","0.31","null","null",
"2535964","null","Josh Bellamy","WR","CHI","WR","CHI","null","3.85","null","null","null","100","null","null","0.19","null","null","null","3.85","3.85","5.8151","null",
